NOGRID,LON,LAT,VAL
135118,115.15,-8.65,32.9658
135454,115.2,-8.65,32.3701
135790,115.25,-8.65,33.0548
141502,116.1,-8.65,25.629
141838,116.15,-8.65,25.5784
142174,116.2,-8.65,25.5278
142510,116.25,-8.65,25.4772
142846,116.3,-8.65,24.7695
143182,116.35,-8.65,24.0618
143518,116.4,-8.65,23.3542
143854,116.45,-8.65,23.8025
144190,116.5,-8.65,24.2509
144526,116.55,-8.65,24.6993
144862,116.6,-8.65,25.1477
146206,116.8,-8.65,25.1102
146542,116.85,-8.65,23.4115
146878,116.9,-8.65,21.7127
147214,116.95,-8.65,20.0139
147550,117,-8.65,18.3151
147886,117.05,-8.65,16.6163
148222,117.1,-8.65,15.4503
148558,117.15,-8.65,14.2843
148894,117.2,-8.65,13.1183
149230,117.25,-8.65,13.1211
149566,117.3,-8.65,13.1238
149902,117.35,-8.65,13.1266
150238,117.4,-8.65,13.1293
150574,117.45,-8.65,13.132
150910,117.5,-8.65,12.8958
151246,117.55,-8.65,12.6596
151582,117.6,-8.65,12.4234
151918,117.65,-8.65,13.3979
152254,117.7,-8.65,14.3723
152590,117.75,-8.65,15.3468
127055,113.95,-8.6,54.5314
127727,114.05,-8.6,55.7012
128063,114.1,-8.6,54.4898
128399,114.15,-8.6,53.2784
128735,114.2,-8.6,52.0669
129071,114.25,-8.6,51.0093
129407,114.3,-8.6,49.9517
129743,114.35,-8.6,48.8941
130079,114.4,-8.6,47.8364
134783,115.1,-8.6,32.091
135119,115.15,-8.6,31.4952
135455,115.2,-8.6,30.8995
135791,115.25,-8.6,31.5842
136127,115.3,-8.6,32.2689
141503,116.1,-8.6,25.3943
141839,116.15,-8.6,25.3437
142175,116.2,-8.6,25.2931
142511,116.25,-8.6,24.5854
142847,116.3,-8.6,23.8778
143183,116.35,-8.6,23.1701
143519,116.4,-8.6,22.4624
143855,116.45,-8.6,22.9108
144191,116.5,-8.6,23.3591
144527,116.55,-8.6,23.8075
144863,116.6,-8.6,24.2559
146207,116.8,-8.6,23.6081
146543,116.85,-8.6,21.9094
146879,116.9,-8.6,20.2106
147215,116.95,-8.6,18.5118
147551,117,-8.6,16.813
147887,117.05,-8.6,15.647
148223,117.1,-8.6,14.481
148559,117.15,-8.6,13.315
148895,117.2,-8.6,12.149
149231,117.25,-8.6,12.1518
149567,117.3,-8.6,12.1545
149903,117.35,-8.6,12.1573
150239,117.4,-8.6,12.16
150575,117.45,-8.6,11.9238
150911,117.5,-8.6,11.6876
151247,117.55,-8.6,11.4513
151583,117.6,-8.6,11.2152
151919,117.65,-8.6,12.1896
152255,117.7,-8.6,13.1641
152591,117.75,-8.6,14.1385
126384,113.85,-8.55,52.0031
126720,113.9,-8.55,54.3843
127056,113.95,-8.55,56.7656
127392,114,-8.55,59.1468
127728,114.05,-8.55,57.9354
128064,114.1,-8.55,56.724
128400,114.15,-8.55,55.5126
128736,114.2,-8.55,54.4549
129072,114.25,-8.55,53.3973
129408,114.3,-8.55,52.3397
129744,114.35,-8.55,51.2821
130080,114.4,-8.55,50.2244
134448,115.05,-8.55,31.2162
134784,115.1,-8.55,30.6204
135120,115.15,-8.55,30.0246
135456,115.2,-8.55,29.4288
135792,115.25,-8.55,30.1135
136128,115.3,-8.55,30.7983
136464,115.35,-8.55,31.483
136800,115.4,-8.55,32.5315
137136,115.45,-8.55,33.58
141504,116.1,-8.55,25.1596
141840,116.15,-8.55,25.109
142176,116.2,-8.55,24.4014
142512,116.25,-8.55,23.6937
142848,116.3,-8.55,22.986
143184,116.35,-8.55,22.2783
143520,116.4,-8.55,21.5707
143856,116.45,-8.55,22.019
144192,116.5,-8.55,22.4674
144528,116.55,-8.55,22.9158
144864,116.6,-8.55,22.7538
145200,116.65,-8.55,22.5919
146544,116.85,-8.55,20.4073
146880,116.9,-8.55,18.7085
147216,116.95,-8.55,17.0097
147552,117,-8.55,15.8437
147888,117.05,-8.55,14.6777
148224,117.1,-8.55,13.5117
148560,117.15,-8.55,12.3457
148896,117.2,-8.55,11.1797
149232,117.25,-8.55,11.1825
149568,117.3,-8.55,11.1852
149904,117.35,-8.55,11.188
150240,117.4,-8.55,10.9517
150576,117.45,-8.55,10.7155
150912,117.5,-8.55,10.4793
151248,117.55,-8.55,10.2431
151584,117.6,-8.55,10.0069
152592,117.75,-8.55,12.9303
152928,117.8,-8.55,13.8115
122689,113.3,-8.5,56.1446
123025,113.35,-8.5,53.832
125713,113.75,-8.5,49.4748
126385,113.85,-8.5,54.2373
126721,113.9,-8.5,56.6185
127057,113.95,-8.5,58.9998
127393,114,-8.5,61.381
127729,114.05,-8.5,60.1696
128065,114.1,-8.5,58.9582
128401,114.15,-8.5,57.9006
128737,114.2,-8.5,56.8429
129073,114.25,-8.5,55.7853
129409,114.3,-8.5,54.7277
129745,114.35,-8.5,53.6701
130081,114.4,-8.5,52.6124
134113,115,-8.5,30.3413
134449,115.05,-8.5,29.7455
134785,115.1,-8.5,29.1497
135121,115.15,-8.5,28.5539
135457,115.2,-8.5,27.9582
135793,115.25,-8.5,28.6429
136129,115.3,-8.5,29.3277
136465,115.35,-8.5,30.3761
136801,115.4,-8.5,31.4246
137137,115.45,-8.5,32.4731
137473,115.5,-8.5,33.5216
137809,115.55,-8.5,34.57
138145,115.6,-8.5,35.6184
141169,116.05,-8.5,24.9755
141505,116.1,-8.5,24.9249
141841,116.15,-8.5,24.2173
142177,116.2,-8.5,23.5096
142513,116.25,-8.5,22.8019
142849,116.3,-8.5,22.0942
143185,116.35,-8.5,21.3866
143521,116.4,-8.5,20.6789
143857,116.45,-8.5,21.1272
144193,116.5,-8.5,21.5756
144529,116.55,-8.5,21.4137
144865,116.6,-8.5,21.2517
145201,116.65,-8.5,21.0898
147889,117.05,-8.5,13.7084
148225,117.1,-8.5,12.5424
148561,117.15,-8.5,11.3764
148897,117.2,-8.5,10.2104
149233,117.25,-8.5,10.2132
149569,117.3,-8.5,10.2159
149905,117.35,-8.5,9.9797
150241,117.4,-8.5,9.7435
150577,117.45,-8.5,9.5072
150913,117.5,-8.5,9.271
151249,117.55,-8.5,9.0348
151585,117.6,-8.5,8.7986
151921,117.65,-8.5,9.7731
118658,112.7,-8.45,68.6484
122690,113.3,-8.45,58.4095
123026,113.35,-8.45,56.097
125042,113.65,-8.45,46.9465
125378,113.7,-8.45,49.3277
125714,113.75,-8.45,51.709
126050,113.8,-8.45,54.0902
126386,113.85,-8.45,56.4715
126722,113.9,-8.45,58.8527
127058,113.95,-8.45,61.234
127394,114,-8.45,63.6152
127730,114.05,-8.45,62.4038
128066,114.1,-8.45,61.3462
128402,114.15,-8.45,60.2886
128738,114.2,-8.45,59.2309
129074,114.25,-8.45,58.1733
129410,114.3,-8.45,57.1157
133442,114.9,-8.45,30.0623
133778,114.95,-8.45,29.4665
134114,115,-8.45,28.8707
134450,115.05,-8.45,28.2749
134786,115.1,-8.45,27.6791
135122,115.15,-8.45,27.0833
135458,115.2,-8.45,26.4876
135794,115.25,-8.45,27.1723
136130,115.3,-8.45,28.2208
136466,115.35,-8.45,29.2693
136802,115.4,-8.45,30.3177
137138,115.45,-8.45,31.3662
137474,115.5,-8.45,32.4147
137810,115.55,-8.45,33.4632
138146,115.6,-8.45,34.5116
138482,115.65,-8.45,32.5334
141170,116.05,-8.45,24.7409
141506,116.1,-8.45,24.0332
141842,116.15,-8.45,23.3255
142178,116.2,-8.45,22.6178
142514,116.25,-8.45,21.9102
142850,116.3,-8.45,21.2025
143186,116.35,-8.45,20.4948
143522,116.4,-8.45,19.7871
143858,116.45,-8.45,20.2355
144194,116.5,-8.45,20.0736
144530,116.55,-8.45,19.9116
144866,116.6,-8.45,19.7496
145202,116.65,-8.45,19.5877
145538,116.7,-8.45,19.4257
146546,116.85,-8.45,17.4031
146882,116.9,-8.45,16.2371
147890,117.05,-8.45,12.7391
148226,117.1,-8.45,11.5731
148562,117.15,-8.45,10.4071
148898,117.2,-8.45,9.2411
149234,117.25,-8.45,9.2439
149570,117.3,-8.45,9.0076
150578,117.45,-8.45,8.299
150914,117.5,-8.45,8.0628
151250,117.55,-8.45,7.8265
151586,117.6,-8.45,7.5904
151922,117.65,-8.45,8.5648
117315,112.5,-8.4,51.1954
117651,112.55,-8.4,56.4144
117987,112.6,-8.4,61.6333
118323,112.65,-8.4,66.8523
118659,112.7,-8.4,72.0712
118995,112.75,-8.4,77.2902
119331,112.8,-8.4,82.5091
119667,112.85,-8.4,80.3583
120003,112.9,-8.4,78.207
124035,113.5,-8.4,51.4244
124371,113.55,-8.4,49.1118
124707,113.6,-8.4,46.7995
125043,113.65,-8.4,49.1807
125379,113.7,-8.4,51.562
125715,113.75,-8.4,53.9432
126051,113.8,-8.4,56.3245
126387,113.85,-8.4,58.7057
126723,113.9,-8.4,61.087
127059,113.95,-8.4,63.4682
127395,114,-8.4,65.8494
127731,114.05,-8.4,64.7918
128067,114.1,-8.4,63.7342
128403,114.15,-8.4,62.6766
128739,114.2,-8.4,61.6189
129075,114.25,-8.4,60.5613
129411,114.3,-8.4,59.5037
131427,114.6,-8.4,43.586
131763,114.65,-8.4,40.1353
132435,114.75,-8.4,33.2341
132771,114.8,-8.4,29.7834
133107,114.85,-8.4,29.1875
133443,114.9,-8.4,28.5917
133779,114.95,-8.4,27.9959
134115,115,-8.4,27.4001
134451,115.05,-8.4,26.8043
134787,115.1,-8.4,26.2085
135123,115.15,-8.4,25.6127
135459,115.2,-8.4,25.017
135795,115.25,-8.4,26.0654
136131,115.3,-8.4,27.1139
136467,115.35,-8.4,28.1624
136803,115.4,-8.4,29.2109
137139,115.45,-8.4,30.2593
137475,115.5,-8.4,31.3078
137811,115.55,-8.4,32.3563
138147,115.6,-8.4,33.4047
138483,115.65,-8.4,32.2987
138819,115.7,-8.4,31.1927
141507,116.1,-8.4,23.1414
141843,116.15,-8.4,22.4338
142179,116.2,-8.4,21.7261
142515,116.25,-8.4,21.0184
142851,116.3,-8.4,20.3107
143187,116.35,-8.4,19.6031
143523,116.4,-8.4,18.8954
143859,116.45,-8.4,18.7334
144195,116.5,-8.4,18.5715
144531,116.55,-8.4,18.4095
144867,116.6,-8.4,18.2475
145203,116.65,-8.4,18.0856
145539,116.7,-8.4,17.9236
148227,117.1,-8.4,10.6038
148563,117.15,-8.4,9.4378
153603,117.9,-8.4,11.6694
111604,111.65,-8.35,52.9594
111940,111.7,-8.35,49.8321
116308,112.35,-8.35,40.3144
116644,112.4,-8.35,40.7147
116980,112.45,-8.35,45.9335
117316,112.5,-8.35,51.1524
117652,112.55,-8.35,56.3714
117988,112.6,-8.35,61.5903
118324,112.65,-8.35,66.8093
118660,112.7,-8.35,72.0282
118996,112.75,-8.35,77.2472
119332,112.8,-8.35,75.855
119668,112.85,-8.35,73.7038
120004,112.9,-8.35,71.5525
120340,112.95,-8.35,69.4013
123364,113.4,-8.35,51.8892
123700,113.45,-8.35,49.5766
124036,113.5,-8.35,47.2641
124372,113.55,-8.35,44.9516
124708,113.6,-8.35,44.8114
125044,113.65,-8.35,47.1926
125380,113.7,-8.35,49.5739
125716,113.75,-8.35,51.9551
126052,113.8,-8.35,54.3364
126388,113.85,-8.35,56.7176
126724,113.9,-8.35,59.0989
127060,113.95,-8.35,61.4801
127396,114,-8.35,60.3651
127732,114.05,-8.35,59.3075
128068,114.1,-8.35,58.2499
128404,114.15,-8.35,57.1922
128740,114.2,-8.35,56.1346
129076,114.25,-8.35,55.077
129412,114.3,-8.35,54.0193
129748,114.35,-8.35,52.9617
131092,114.55,-8.35,41.7243
131428,114.6,-8.35,38.2737
131764,114.65,-8.35,34.8231
132100,114.7,-8.35,31.3724
132436,114.75,-8.35,27.9218
132772,114.8,-8.35,27.9701
133108,114.85,-8.35,27.3744
133444,114.9,-8.35,26.7786
133780,114.95,-8.35,26.1828
134116,115,-8.35,25.587
134452,115.05,-8.35,24.9912
134788,115.1,-8.35,24.3954
135124,115.15,-8.35,23.7996
135460,115.2,-8.35,23.7724
135796,115.25,-8.35,24.8209
136132,115.3,-8.35,25.8694
136468,115.35,-8.35,26.9179
136804,115.4,-8.35,27.9663
137140,115.45,-8.35,29.0148
137476,115.5,-8.35,30.0633
137812,115.55,-8.35,31.1118
138148,115.6,-8.35,31.4983
138484,115.65,-8.35,30.3924
141844,116.15,-8.35,21.4146
142180,116.2,-8.35,20.707
